lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,,,,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
residence-of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,,,,"What (dbo:Person, X) is the residence/residences of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:residence ?X.},"Who (dbo:Person, X) is the residence of (dbo:Place,Y?) (X dbo:residence Y)",SELECT ?X WHERE { Y dbo:residence ?X.},"List the (dbo:Person, X) residences of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:residence ?X.},"the residence of (dbo:Place,Y) ",Qald-1,2
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,,,,"What (dbo:Currency, X) is the currency/currencies of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},FALSE,FALSE,"List the (dbo:Currency, X) currencies of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},"the currency of (dbo:Country,Y) ",Qald-1,2
son_of,noun,son,sons,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,,,,"What (dbo:Person, X) is the son/sons of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Who (dbo:Person, X) is the son of (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"List the (dbo:Person, X) sons of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"the son of (dbo:Person,Y) ",Qald-1,2
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,,,,"What (dbo:PopulatedPlace, X) is the headquarter/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:headquarter ?X.},FALSE,FALSE,"List the (dbo:PopulatedPlace, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:headquarter ?X.},"the headquarter of (dbo:Organisation,Y) ",Qald-1,2
Founder-of_1,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:founder,dbo:Publisher,dbo:Agent,,,,"What (dbo:Agent, X) is the founder/founders of (dbo:Publisher,Y?) ",SELECT ?X WHERE { Y dbo:founder ?X.},FALSE,FALSE,"List the (dbo:Agent, X) founders of (dbo:Publisher,Y?) ",SELECT ?X WHERE { Y dbo:founder ?X.},"the founder of (dbo:Publisher,Y) ",Qald-1,2
Founder-of_2,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Pope,,,,"What (dbo:Pope, X) is the founder/founders of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:foundedBy ?X.},FALSE,FALSE,"List the (dbo:Pope, X) founders of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:foundedBy ?X.},"the founder of (dbo:Organisation,Y) ",Qald-1,2
autobiography-of,noun,autobiography,-,of,NounPPFrame,range,domain,1,dbo:literaryGenre,dbo:Autobiography,dbo:Author,,,,"What (dbo:Author, X) is the autobiography/- of (dbo:Autobiography,Y?) ",SELECT ?X WHERE { Y dbo:literaryGenre ?X.},FALSE,FALSE,"List the (dbo:Author, X) - of (dbo:Autobiography,Y?) ",SELECT ?X WHERE { Y dbo:literaryGenre ?X.},"the autobiography of (dbo:Autobiography,Y) ",Qald-1,2
parent-of,noun,parent,parents,of,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,,,,"What (dbo:Person, X) is the parent/parents of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:parent ?X.},"Who (dbo:Person, X) is the parent of (dbo:Person,Y?) (X dbo:parent Y)",SELECT ?X WHERE { Y dbo:parent ?X.},"List the (dbo:Person, X) parents of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:parent ?X.},"the parent of (dbo:Person,Y) ",Qald-1,2
artisticMovement_of,noun,artistic movement,artistic movements,of,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,,,,"What (owl:Thing, X) is the artistic movement/artistic movements of (dbo:Artist,Y?) ",SELECT ?X WHERE { Y dbo:movement ?X.},FALSE,FALSE,"List the (owl:Thing, X) artistic movements of (dbo:Artist,Y?) ",SELECT ?X WHERE { Y dbo:movement ?X.},"the artistic movement of (dbo:Artist,Y) ",Qald-1,2
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person,,,,"What (dbo:Person, X) is the author/authors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:author ?X.},"Who (dbo:Person, X) is the author of (dbo:Work,Y?) (X dbo:author Y)",SELECT ?X WHERE { Y dbo:author ?X.},"List the (dbo:Person, X) authors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:author ?X.},"the author of (dbo:Work,Y) ",Qald-1,2
foundation_series_of,noun,foundation series,foundation series,of,NounPPFrame,range,domain,1,dbo:series,dbo:Foundation_series,dbo:Person,,,,"What (dbo:Person, X) is the foundation series/foundation series of (dbo:Foundation_series,Y?) ",SELECT ?X WHERE { Y dbo:series ?X.},"Who (dbo:Person, X) is the foundation series of (dbo:Foundation_series,Y?) (X dbo:series Y)",SELECT ?X WHERE { Y dbo:series ?X.},"List the (dbo:Person, X) foundation series of (dbo:Foundation_series,Y?) ",SELECT ?X WHERE { Y dbo:series ?X.},"the foundation series of (dbo:Foundation_series,Y) ",Qald-1,2
city-of,noun,city,cities,of,NounPPFrame,range,domain,1,dbo:isPartOf,dbo:AdministrativeRegion,dbo:City,,,,"What (dbo:City, X) is the city/cities of (dbo:AdministrativeRegion,Y?) ",SELECT ?X WHERE { Y dbo:isPartOf ?X.},FALSE,FALSE,"List the (dbo:City, X) cities of (dbo:AdministrativeRegion,Y?) ",SELECT ?X WHERE { Y dbo:isPartOf ?X.},"the city of (dbo:AdministrativeRegion,Y) ",Qald-1,2
founder_of,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company,,,,"What (dbo:Company, X) is the founder/founders of (dbo:BroadcastNetwork,Y?) ",SELECT ?X WHERE { Y dbo:foundedBy ?X.},FALSE,FALSE,"List the (dbo:Company, X) founders of (dbo:BroadcastNetwork,Y?) ",SELECT ?X WHERE { Y dbo:foundedBy ?X.},"the founder of (dbo:BroadcastNetwork,Y) ",Qald-1,2
wine_production-of,noun,wine production,wine productions,of,NounPPFrame,range,domain,1,dbo:wineProduced,dbo:Company,dbo:Location,,,,"What (dbo:Location, X) is the wine production/wine productions of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:wineProduced ?X.},FALSE,FALSE,"List the (dbo:Location, X) wine productions of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:wineProduced ?X.},"the wine production of (dbo:Company,Y) ",Qald-1,2
residence_of,noun,residence,residences,of,NounPPFrame,range,domain,1,dbo:residence,dbo:Person,dbo:City,,,,"What (dbo:City, X) is the residence/residences of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:residence ?X.},FALSE,FALSE,"List the (dbo:City, X) residences of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:residence ?X.},"the residence of (dbo:Person,Y) ",Qald-1,2
resting_place_of,noun,resting place,resting places,of,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,dbo:Country,,,,"What (dbo:Country, X) is the resting place/resting places of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:restingPlace ?X.},FALSE,FALSE,"List the (dbo:Country, X) resting places of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:restingPlace ?X.},"the resting place of (dbo:Person,Y) ",Qald-1,2
Composer-of,noun,music composer,music composers,of,NounPPFrame,range,domain,1,dbo:composer,dbo:TelevisionShow,dbo:Person,,,,"What (dbo:Person, X) is the music composer/music composers of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:composer ?X.},"Who (dbo:Person, X) is the music composer of (dbo:TelevisionShow,Y?) (X dbo:composer Y)",SELECT ?X WHERE { Y dbo:composer ?X.},"List the (dbo:Person, X) music composers of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:composer ?X.},"the music composer of (dbo:TelevisionShow,Y) ",Qald-1,2
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:City/dbo:Town,xsd:string,,,,"What (xsd:string, X) is the time zone/time zones of (dbo:City/dbo:Town,Y?) ",SELECT ?X WHERE { Y dbo:timeZone ?X.},FALSE,FALSE,"List the (xsd:string, X) time zones of (dbo:City/dbo:Town,Y?) ",SELECT ?X WHERE { Y dbo:timeZone ?X.},"the time zone of (dbo:City/dbo:Town,Y) ",Qald-1,2
Borough-of,noun,borough,borough,of,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Town,owl:Thing,,,,"What ( dbo:Town,X) is the borough/borough of (owl:Thing,Y)? ",SELECT ?X WHERE { ?X dbo:governmentType Y.},FALSE,FALSE,"List the ( dbo:Town,X)borough of (owl:Thing,Y)? ",SELECT ?X WHERE { ?X dbo:governmentType Y.},"the borough of (owl:Thing,Y) ",Qald-1,2
membership-of,noun,member,members,of,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist,,,,"What (dbo:MusicalArtist, X) is the member/members of (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"List the (dbo:MusicalArtist, X) members of (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"the member of (dbo:Band,Y) ",Qald-1,2
Book-in,noun,book,books,in,NounPPFrame,domain,range,1,dbo:series,dbo:Book,dbo:TelevisionShow,,,,"What ( dbo:Book,X) is the book/books in (dbo:TelevisionShow,Y)? ",SELECT ?X WHERE { ?X dbo:series Y.},FALSE,FALSE,"List the ( dbo:Book,X)books in (dbo:TelevisionShow,Y)? ",SELECT ?X WHERE { ?X dbo:series Y.},"the book in (dbo:TelevisionShow,Y) ",Qald-1,2
book_by,noun,book,books,by,NounPPFrame,domain,range,1,dbo:author,dbo:Book,dbo:Writer,,,,"What ( dbo:Book,X) is the book/books by (dbo:Writer,Y)? ",SELECT ?X WHERE { ?X dbo:author Y.},FALSE,FALSE,"List the ( dbo:Book,X)books by (dbo:Writer,Y)? ",SELECT ?X WHERE { ?X dbo:author Y.},"the book by (dbo:Writer,Y) ",Qald-1,2
king-of,noun,king,kings,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature/dbo:Place,dbo:Person,,,,"What (dbo:Person, X) is the king/kings of (dbo:Legislature/dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:leader ?X.},"Who (dbo:Person, X) is the king of (dbo:Legislature/dbo:Place,Y?) (X dbo:leader Y)",SELECT ?X WHERE { Y dbo:leader ?X.},"List the (dbo:Person, X) kings of (dbo:Legislature/dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:leader ?X.},"the king of (dbo:Legislature/dbo:Place,Y) ",Qald-1,2
successor_of,noun,successor,-,of,NounPPFrame,range,domain,1,dbo:successor,dbo:Politician,dbo:Person,,,,"What (dbo:Person, X) is the successor/- of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:successor ?X.},"Who (dbo:Person, X) is the successor of (dbo:Politician,Y?) (X dbo:successor Y)",SELECT ?X WHERE { Y dbo:successor ?X.},"List the (dbo:Person, X) - of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:successor ?X.},"the successor of (dbo:Politician,Y) ",Qald-1,2
game_by,noun,game,games,by,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Company/dbo:Publisher,,,,"What ( dbo:VideoGame,X) is the game/games by (dbo:Company/dbo:Publisher,Y)? ",SELECT ?X WHERE { ?X dbo:publisher Y.},FALSE,FALSE,"List the ( dbo:VideoGame,X)games by (dbo:Company/dbo:Publisher,Y)? ",SELECT ?X WHERE { ?X dbo:publisher Y.},"the game by (dbo:Company/dbo:Publisher,Y) ",Qald-1,2
city-in,noun,city,cities,in,NounPPFrame,range,domain,1,dbo:isPartOf,dbo:AdministrativeRegion,dbo:City,,,,"What (dbo:City, X) is the city/cities in (dbo:AdministrativeRegion,Y?) ",SELECT ?X WHERE { Y dbo:isPartOf ?X.},FALSE,FALSE,"List the (dbo:City, X) cities in (dbo:AdministrativeRegion,Y?) ",SELECT ?X WHERE { Y dbo:isPartOf ?X.},"the city in (dbo:AdministrativeRegion,Y) ",Qald-1,2
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Building,dbo:City,,,,"What (dbo:City, X) is the headquarter/- of (dbo:Building,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Building,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},"the headquarter of (dbo:Building,Y) ",Qald-1,2
party-of,noun,party,parties,of,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,,,,"What (xsd:string, X) is the party/parties of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:party ?X.},FALSE,FALSE,"List the (xsd:string, X) parties of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:party ?X.},"the party of (dbo:Politician,Y) ",Qald-1,2
son_of,noun,son,sons,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,,,,"What (dbo:Person, X) is the son/sons of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},,SELECT ?X WHERE { Y dbo:child ?X.},"List the (dbo:Person, X) sons of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"the son of (dbo:Person,Y) ",Qald-1,2
daughter_of,noun,daughter,daughters,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,,,,"What (dbo:Person, X) is the daughter/daughters of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Who (dbo:Person, X) is the daughter of (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"List the (dbo:Person, X) daughters of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"the daughter of (dbo:Person,Y) ",Qald-1,2
coach_of,noun,coach,coaches,of,NounPPFrame,range,domain,1,dbo:coach,dbo:HockeyTeam,dbo:Person,,,,"What (dbo:Person, X) is the coach/coaches of (dbo:HockeyTeam,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"Who (dbo:Person, X) is the coach of (dbo:HockeyTeam,Y?) (X dbo:coach Y)",SELECT ?X WHERE { Y dbo:coach ?X.},"List the (dbo:Person, X) coaches of (dbo:HockeyTeam,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"the coach of (dbo:HockeyTeam,Y) ",Qald-1,2
team_of,noun,team,teams,of,NounPPFrame,domain,range,1,dbo:league,dbo:HockeyTeam,dbo:IceHockeyLeague,,,,"What ( dbo:HockeyTeam,X) is the team/teams of (dbo:IceHockeyLeague,Y)? ",SELECT ?X WHERE { ?X dbo:league Y.},FALSE,FALSE,"List the ( dbo:HockeyTeam,X)teams of (dbo:IceHockeyLeague,Y)? ",SELECT ?X WHERE { ?X dbo:league Y.},"the team of (dbo:IceHockeyLeague,Y) ",Qald-1,2
home_stadium_of,noun,home stadium,home stadiums,of,NounPPFrame,range,domain,1,dbo:ground,dbo:SportsClub,dbo:Stadium,,,,"What (dbo:Stadium, X) is the home stadium/home stadiums of (dbo:SportsClub,Y?) ",SELECT ?X WHERE { Y dbo:ground ?X.},FALSE,FALSE,"List the (dbo:Stadium, X) home stadiums of (dbo:SportsClub,Y?) ",SELECT ?X WHERE { Y dbo:ground ?X.},"the home stadium of (dbo:SportsClub,Y) ",Qald-1,2
address-of,noun,address,addresses,of,NounPPFrame,range,domain,1,dbo:address,dbo:ArchitecturalStructure,xsd:string,,,,"What (xsd:string, X) is the address/addresses of (dbo:ArchitecturalStructure,Y?) ",SELECT ?X WHERE { Y dbo:address ?X.},FALSE,FALSE,"List the (xsd:string, X) addresses of (dbo:ArchitecturalStructure,Y?) ",SELECT ?X WHERE { Y dbo:address ?X.},"the address of (dbo:ArchitecturalStructure,Y) ",Qald-1,2
album-of,noun,album,albums,of,NounPPFrame,range,domain,1,dbo:album,dbo:Song,dbo:Album,,,,"What (dbo:Album, X) is the album/albums of (dbo:Song,Y?) ",SELECT ?X WHERE { Y dbo:album ?X.},FALSE,FALSE,"List the (dbo:Album, X) albums of (dbo:Song,Y?) ",SELECT ?X WHERE { Y dbo:album ?X.},"the album of (dbo:Song,Y) ",Qald-1,2
associatedMusicalArtist-of,noun,associated Musical Artist,associated Musical Artists,of,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,dbo:Band,dbo:Place,,,,"What (dbo:Place, X) is the associated Musical Artist/associated Musical Artists of (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},FALSE,FALSE,"List the (dbo:Place, X) associated Musical Artists of (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},"the associated Musical Artist of (dbo:Band,Y) ",Qald-1,2
citizenship-of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:citizenship,dbo:Person,dbo:Country,,,,"What (dbo:Country, X) is the nationality/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:citizenship ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:citizenship ?X.},"the nationality of (dbo:Person,Y) ",Qald-1,2
closingDate-of,noun,closing Date,closing Dates,of,NounPPFrame,range,domain,1,dbo:closingDate,dbo:Company,xsd:date,,,,"What (xsd:date, X) is the closing Date/closing Dates of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:closingDate ?X.},FALSE,FALSE,"List the (xsd:date, X) closing Dates of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:closingDate ?X.},"the closing Date of (dbo:Company,Y) ",Qald-1,2
deliveryDate-of,noun,delivery Date,delivery Dates,of,NounPPFrame,range,domain,1,dbo:deliveryDate,dbo:MeanOfTransportation,xsd:date,,,,"What (xsd:date, X) is the delivery Date/delivery Dates of (dbo:MeanOfTransportation,Y?) ",SELECT ?X WHERE { Y dbo:deliveryDate ?X.},FALSE,FALSE,"List the (xsd:date, X) delivery Dates of (dbo:MeanOfTransportation,Y?) ",SELECT ?X WHERE { Y dbo:deliveryDate ?X.},"the delivery Date of (dbo:MeanOfTransportation,Y) ",Qald-1,2
diameter-of,noun,diameter,diameters,of,NounPPFrame,range,domain,1,dbo:diameter,dbo:Device,xsd:double,,,,"What (xsd:double, X) is the diameter/diameters of (dbo:Device,Y?) ",SELECT ?X WHERE { Y dbo:diameter ?X.},FALSE,FALSE,"List the (xsd:double, X) diameters of (dbo:Device,Y?) ",SELECT ?X WHERE { Y dbo:diameter ?X.},"the diameter of (dbo:Device,Y) ",Qald-1,2
employer-of,noun,employer,employers,of,NounPPFrame,range,domain,1,dbo:employer,dbo:Person,dbo:Place,,,,"What (dbo:Place, X) is the employer/employers of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:employer ?X.},FALSE,FALSE,"List the (dbo:Place, X) employers of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:employer ?X.},"the employer of (dbo:Person,Y) ",Qald-1,2
isbn-of,noun,isbn,isbns,of,NounPPFrame,range,domain,1,dbo:isbn,dbo:Book,xsd:string,,,,"What (xsd:string, X) is the isbn/isbns of (dbo:Book,Y?) ",SELECT ?X WHERE { Y dbo:isbn ?X.},FALSE,FALSE,"List the (xsd:string, X) isbns of (dbo:Book,Y?) ",SELECT ?X WHERE { Y dbo:isbn ?X.},"the isbn of (dbo:Book,Y) ",Qald-1,2
firstAirDate-of,noun,first Air Date,first Air Dates,of,NounPPFrame,range,domain,1,dbo:firstAirDate,dbo:TelevisionSeason,xsd:date,,,,"What (xsd:date, X) is the first Air Date/first Air Dates of (dbo:TelevisionSeason,Y?) ",SELECT ?X WHERE { Y dbo:firstAirDate ?X.},FALSE,FALSE,"List the (xsd:date, X) first Air Dates of (dbo:TelevisionSeason,Y?) ",SELECT ?X WHERE { Y dbo:firstAirDate ?X.},"the first Air Date of (dbo:TelevisionSeason,Y) ",Qald-1,2
firstAscentPerson-of,noun,first Ascent Person,first Ascent Persons,of,NounPPFrame,range,domain,1,dbo:firstAscentPerson,dbo:Mountain,dbo:Place,,,,"What (dbo:Place, X) is the first Ascent Person/first Ascent Persons of (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},FALSE,FALSE,"List the (dbo:Place, X) first Ascent Persons of (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},"the first Ascent Person of (dbo:Mountain,Y) ",Qald-1,2
flag-of,noun,flag,flags,of,NounPPFrame,range,domain,1,dbo:flag,dbo:Place,xsd:string,,,,"What (xsd:string, X) is the flag/flags of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:flag ?X.},FALSE,FALSE,"List the (xsd:string, X) flags of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:flag ?X.},"the flag of (dbo:Place,Y) ",Qald-1,2
governor-of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbo:governor,dbo:Person,dbo:Person,,,,"What (dbo:Person, X) is the governor/governors of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:governor ?X.},"Who (dbo:Person, X) is the governor of (dbo:Person,Y?) (X dbo:governor Y)",SELECT ?X WHERE { Y dbo:governor ?X.},"List the (dbo:Person, X) governors of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:governor ?X.},"the governor of (dbo:Person,Y) ",Qald-1,2
lastElectionDate-of,noun,last Election Date,last Election Dates,of,NounPPFrame,range,domain,1,dbo:lastElectionDate,dbo:Organisation,xsd:date,,,,"What (xsd:date, X) is the last Election Date/last Election Dates of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:lastElectionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) last Election Dates of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:lastElectionDate ?X.},"the last Election Date of (dbo:Organisation,Y) ",Qald-1,2
minimumTemperature-of,noun,minimum Temperature,minimum Temperatures,of,NounPPFrame,range,domain,1,dbo:minimumTemperature,dbo:Planet,xsd:double,,,,"What (xsd:double, X) is the minimum Temperature/minimum Temperatures of (dbo:Planet,Y?) ",SELECT ?X WHERE { Y dbo:minimumTemperature ?X.},FALSE,FALSE,"List the (xsd:double, X) minimum Temperatures of (dbo:Planet,Y?) ",SELECT ?X WHERE { Y dbo:minimumTemperature ?X.},"the minimum Temperature of (dbo:Planet,Y) ",Qald-1,2
numberOfSeasons-of,noun,number Of Season,number Of Seasons,of,NounPPFrame,range,domain,1,dbo:numberOfSeasons,dbo:TelevisionShow,xsd:nonNegativeInteger,,,,"What (xsd:nonNegativeInteger, X) is the number Of Season/number Of Seasons of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:numberOfSeasons ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) number Of Seasons of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:numberOfSeasons ?X.},"the number Of Season of (dbo:TelevisionShow,Y) ",Qald-1,2
numberOfStudents-of,noun,number Of Student,number Of Students,of,NounPPFrame,range,domain,1,dbo:numberOfStudents,dbo:School,xsd:nonNegativeInteger,,,,"What (xsd:nonNegativeInteger, X) is the number Of Student/number Of Students of (dbo:School,Y?) ",SELECT ?X WHERE { Y dbo:numberOfStudents ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) number Of Students of (dbo:School,Y?) ",SELECT ?X WHERE { Y dbo:numberOfStudents ?X.},"the number Of Student of (dbo:School,Y) ",Qald-1,2
openingDate-of,noun,opening Date,opening Dates,of,NounPPFrame,range,domain,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:date,,,,"What (xsd:date, X) is the opening Date/opening Dates of (dbo:ArchitecturalStructure,Y?) ",SELECT ?X WHERE { Y dbo:openingDate ?X.},FALSE,FALSE,"List the (xsd:date, X) opening Dates of (dbo:ArchitecturalStructure,Y?) ",SELECT ?X WHERE { Y dbo:openingDate ?X.},"the opening Date of (dbo:ArchitecturalStructure,Y) ",Qald-1,2
postCode-of,noun,post code,-,of,NounPPFrame,range,domain,1,dbo:postalCode,dbo:Place,xsd:nonNegativeInteger,,,,"What (xsd:nonNegativeInteger, X) is the post code/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:postalCode ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:postalCode ?X.},"the post code of (dbo:Place,Y) ",Qald-1,2
releaseDate-of,noun,release date,-,of,NounPPFrame,range,domain,1,dbo:releaseDate,dbo:Software,xsd:date,,,,"What (xsd:date, X) is the release date/- of (dbo:Software,Y?) ",SELECT ?X WHERE { Y dbo:releaseDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Software,Y?) ",SELECT ?X WHERE { Y dbo:releaseDate ?X.},"the release date of (dbo:Software,Y) ",Qald-1,2
religion-of,noun,religion,-,of,NounPPFrame,range,domain,1,dbo:religion,dbo:Person,xsd:string,,,,"What (xsd:string, X) is the religion/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:religion ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:religion ?X.},"the religion of (dbo:Person,Y) ",Qald-1,2
absoluteMagnitude-of,noun,absolute Magnitude,absolute Magnitudes,of,NounPPFrame,range,domain,1,dbo:absoluteMagnitude,,,,,,,,,,,,,,
academicDiscipline-of,noun,academic Discipline,academic Disciplines,of,NounPPFrame,range,domain,1,dbo:academicDiscipline,,,,,,,,,,,,,,
acquirementDate-of,noun,acquirement date,acquirement dates,of,NounPPFrame,range,domain,1,dbo:acquirementDate,,,,,,,,,,,,,,
activeYears-of,noun,active year,active years,of,NounPPFrame,range,domain,1,dbo:activeYears,,,,,,,,,,,,,,
address-of,noun,address,addresses,of,NounPPFrame,range,domain,1,dbo:address,,,,,,,,,,,,,,
administrativeCollectivity-of,noun,administrativeCollectivity,administrative collectivity,of,NounPPFrame,range,domain,1,dbo:administrativeCollectivity,,,,,,,,,,,,,,
administrator-of,noun,administrator,administrators,of,NounPPFrame,range,domain,1,dbo:administrator,,,,,,,,,,,,,,
agencyStationCode-of,noun,agency station code,-,of,NounPPFrame,range,domain,1,dbo:agencyStationCode,,,,,,,,,,,,,,
ageRange-of,noun,age range,age ranges,of,NounPPFrame,range,domain,1,dbo:ageRange,,,,,,,,,,,,,,
aircraftBomber-of,noun,aircraft Bomber,aircraft Bombers,of,NounPPFrame,range,domain,1,dbo:aircraftBomber,,,,,,,,,,,,,,
aircraftFighter-of,noun,aircraft Fighter,aircraft Fighters,of,NounPPFrame,range,domain,1,dbo:aircraftFighter,,,,,,,,,,,,,,
aircraftHelicopterAttack-of,noun,aircraft Helicopter Attack,aircraft Helicopter Attacks,of,NounPPFrame,range,domain,1,dbo:aircraftHelicopterAttack,,,,,,,,,,,,,,
aircraftHelicopterMultirole-of,noun,aircraft Helicopter Multirole,aircraft Helicopter Multiroles,of,NounPPFrame,range,domain,1,dbo:aircraftHelicopterMultirole,,,,,,,,,,,,,,
