LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
erweitern,verb,erweitern,erweitert,erweiterte,erweitert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
verfügen,verb,verfügen,verfügt,verfügte,verfügt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
überquerte,verb,überquerte,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
beziehen,verb,beziehen,bezieht,bezog,bezogen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
trennen,verb,trennen,trennt,trennte,getrennt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
konstruieren,verb,konstruieren,konstruiert,konstruierte,konstruiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
schützen,verb,schützen,schützt,schützte,geschützt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
erklären,verb,erklären,erklärt,erklärte,erklärt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
wählen,verb,wählen,wählt,wählte,gewählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
erheben,verb,erheben,erhebt,erhub,erhoben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
verdanken,verb,verdanken,verdankt,verdankte,verdankt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
verzeichnen,verb,verzeichnen,verzeichnet,verzeichnete,verzeichnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
spannen,verb,spannen,spannt,spannte,gespannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
fusionierte,verb,fusionierte,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
gekrümmt,verb,gekrümmt,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
anordnen,verb,anordnen,anordnet,anordnete,angeordnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
legen,verb,legen,legt,legte,gelegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
ablösen,verb,ablösen,ablöst,ablöste,abgelöst,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
ergänzen,verb,ergänzen,ergänzt,ergänzte,ergänzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
herstellen,verb,herstellen,herstellt,herstellte,hergestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
anlegen,verb,anlegen,anlegt,anlegte,angelegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
vorsehen,verb,vorsehen,vorsieht,vorsah,vorgesehen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
bekennen,verb,bekennen,bekennt,bekannte,bekannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
zerstört,verb,zerstört,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
einstellen,verb,einstellen,einstellt,einstellte,eingestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
reparieren,verb,reparieren,repariert,reparierte,repariert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
existieren,verb,existieren,existiert,existierte,existiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
benötigen,verb,benötigen,benötigt,benötigte,benötigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
beschließen,verb,beschließen,beschließt,beschloss,beschlossen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
erinnern,verb,erinnern,erinnert,erinnerte,erinnert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
ausbauen,verb,ausbauen,ausbaut,ausbaute,ausgebaut,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
bieten,verb,bieten,bietet,bot,geboten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
gestalten,verb,gestalten,gestaltet,gestaltete,gestaltet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
markieren,verb,markieren,markiert,markierte,markiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
öffnen,verb,öffnen,öffnet,öffnete,geöffnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/River,von
tragen,verb,tragen,trägt,trug,getragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
verleihen,verb,verleihen,verleiht,verlieh,verliehen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
erhalten,verb,erhalten,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
belegen,verb,belegen,belegt,belegte,belegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
siegen,verb,siegen,siegt,siegte,gesiegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
melden,verb,melden,meldet,meldete,gemeldet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
erfüllen,verb,erfüllen,erfüllt,erfüllte,erfüllt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
teilnehmen,verb,teilnehmen,teilnimmt,teilnahm,teilgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
erzielen,verb,erzielen,erzielt,erzielte,erzielt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
verwenden,verb,verwenden,verwendet,verwandte,verwandt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
schreiben,verb,schreiben,schreibt,schrieb,geschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
verheiraten,verb,verheiraten,verheiratet,verheiratete,verheiratet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
ernennen,verb,ernennen,ernennt,ernannte,ernannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
besitzen,verb,besitzen,besitzt,besaß,besessen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
studieren,verb,studieren,studiert,studierte,studiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
verlieren,verb,verlieren,verliert,verlor,verloren,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
zählen,verb,zählen,zählt,zählte,gezählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award,von
gelistet,verb,gelistet,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
gründen,verb,gründen,gründet,gründete,gegründet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
führen,verb,führen,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
führen,verb,führen,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
führen,verb,führen,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
schreiben,verb,schreiben,schreibt,schrieb,geschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
schreiben,verb,schreiben,schreibt,schrieb,geschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
schreiben,verb,schreiben,schreibt,schrieb,geschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
handeln,verb,handeln,handelt,handelte,gehandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
handeln,verb,handeln,handelt,handelte,gehandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produziert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produziert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
handeln,verb,handeln,handelt,handelte,gehandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produziert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
beruhen,verb,beruhen,beruht,beruhte,beruht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
beruhen,verb,beruhen,beruht,beruhte,beruht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
besetzen,verb,besetzen,besetzt,besetzte,besetzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
besetzen,verb,besetzen,besetzt,besetzte,besetzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
beruhen,verb,beruhen,beruht,beruhte,beruht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erscheinen,verb,erscheinen,erscheint,erschien,erschienen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
besetzen,verb,besetzen,besetzt,besetzte,besetzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
veröffentlichen,verb,veröffentlichen,veröffentlicht,veröffentlichte,veröffentlicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
erscheinen,verb,erscheinen,erscheint,erschien,erschienen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
zeigen,verb,zeigen,zeigt,zeigte,gezeigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erscheinen,verb,erscheinen,erscheint,erschien,erschienen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
laufen,verb,laufen,läuft,lief,gelaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
veröffentlichen,verb,veröffentlichen,veröffentlicht,veröffentlichte,veröffentlicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
drehen,verb,drehen,dreht,drehte,gedreht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
zeigen,verb,zeigen,zeigt,zeigte,gezeigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
erzählen,verb,erzählen,erzählt,erzählte,erzählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
erzählen,verb,erzählen,erzählt,erzählte,erzählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
zeigen,verb,zeigen,zeigt,zeigte,gezeigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erzählen,verb,erzählen,erzählt,erzählte,erzählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
ausstrahlen,verb,ausstrahlen,ausstrahlt,ausstrahlte,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
ausstrahlen,verb,ausstrahlen,ausstrahlt,ausstrahlte,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
erhalten,verb,erhalten,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
ausstrahlen,verb,ausstrahlen,ausstrahlt,ausstrahlte,ausgestrahlt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
erhalten,verb,erhalten,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
erhalten,verb,erhalten,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
stammen,verb,stammen,stammt,stammte,gestammt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
stammen,verb,stammen,stammt,stammte,gestammt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
stammen,verb,stammen,stammt,stammte,gestammt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
übernehmen,verb,übernehmen,übernimmt,übernahm,übernommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
verkörpern,verb,verkörpern,verkörpert,verkörperte,verkörpert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
übernehmen,verb,übernehmen,übernimmt,übernahm,übernommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
übernehmen,verb,übernehmen,übernimmt,übernahm,übernommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
verkörpern,verb,verkörpern,verkörpert,verkörperte,verkörpert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
verkörpern,verb,verkörpern,verkörpert,verkörperte,verkörpert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
dienen,verb,dienen,dient,diente,gedient,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
dienen,verb,dienen,dient,diente,gedient,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
dienen,verb,dienen,dient,diente,gedient,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
thematisieren,verb,thematisieren,thematisiert,thematisierte,thematisiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
inszenieren,verb,inszenieren,inszeniert,inszenierte,inszeniert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
inszenieren,verb,inszenieren,inszeniert,inszenierte,inszeniert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
inszenieren,verb,inszenieren,inszeniert,inszenierte,inszeniert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
thematisieren,verb,thematisieren,thematisiert,thematisierte,thematisiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
thematisieren,verb,thematisieren,thematisiert,thematisierte,thematisiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
behandeln,verb,behandeln,behandelt,behandelte,behandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
behandeln,verb,behandeln,behandelt,behandelte,behandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
darstellen,verb,darstellen,darstellt,darstellte,dargestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
schildern,verb,schildern,schildert,schilderte,geschildert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
aufführen,verb,aufführen,aufführt,aufführte,aufgeführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
aufführen,verb,aufführen,aufführt,aufführte,aufgeführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
darstellen,verb,darstellen,darstellt,darstellte,dargestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
schildern,verb,schildern,schildert,schilderte,geschildert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
aufnehmen,verb,aufnehmen,aufnimmt,aufnahm,aufgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
folgen,verb,folgen,folgt,folgte,gefolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
folgen,verb,folgen,folgt,folgte,gefolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
aufnehmen,verb,aufnehmen,aufnimmt,aufnahm,aufgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
stellen,verb,stellen,stellt,stellte,gestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
folgen,verb,folgen,folgt,folgte,gefolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
hören,verb,hören,hört,hörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
hören,verb,hören,hört,hörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
