LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,question (attributive use),sparql1,question2 (predicative use),sparql2
Costa-Rican_44,adjective,Costa Rican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Costa_Rica,dbo:Film,dbo:Film,"Give me Costa Rican (dbo:nationality res:Costa_Rica)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Costa_Rica. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Costa Rican (dbo:nationality res:Costa_Rica)?",
Croatian_45,adjective,Croatian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Croatia,dbo:Film,dbo:Film,"Give me Croatian (dbo:country res:Croatia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Croatia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Croatian (dbo:country res:Croatia)?",
Croatian_46,adjective,Croatian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Croatia,dbo:Film,dbo:Film,"Give me Croatian (dbo:nationality res:Croatia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Croatia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Croatian (dbo:nationality res:Croatia)?",
Cuban_47,adjective,Cuban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cuba,dbo:Film,dbo:Film,"Give me Cuban (dbo:country res:Cuba)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Cuba. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Cuban (dbo:country res:Cuba)?",
Cuban_48,adjective,Cuban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Cuba,dbo:Film,dbo:Film,"Give me Cuban (dbo:nationality res:Cuba)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Cuba. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Cuban (dbo:nationality res:Cuba)?",
Czech_49,adjective,Czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film,"Give me Czech (dbo:country res:Czech_Republic)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Czech_Republic. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Czech (dbo:country res:Czech_Republic)?",
Czech_50,adjective,Czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Czech_Republic,dbo:Film,dbo:Film,"Give me Czech (dbo:nationality res:Czech_Republic)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Czech_Republic. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Czech (dbo:nationality res:Czech_Republic)?",
Danish_51,adjective,Danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film,"Give me Danish (dbo:country res:Denmark)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Denmark. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Danish (dbo:country res:Denmark)?",
Danish_52,adjective,Danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Denmark,dbo:Film,dbo:Film,"Give me Danish (dbo:nationality res:Denmark)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Denmark. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Danish (dbo:nationality res:Denmark)?",
Dominican_53,adjective,Dominican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Dominican_Republic,dbo:Film,dbo:Film,"Give me Dominican (dbo:country res:Dominican_Republic)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Dominican_Republic. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Dominican (dbo:country res:Dominican_Republic)?",
Dominican_54,adjective,Dominican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Dominican_Republic,dbo:Film,dbo:Film,"Give me Dominican (dbo:nationality res:Dominican_Republic)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Dominican_Republic. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Dominican (dbo:nationality res:Dominican_Republic)?",
Ecuadorian_55,adjective,Ecuadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ecuador,dbo:Film,dbo:Film,"Give me Ecuadorian (dbo:country res:Ecuador)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Ecuador. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Ecuadorian (dbo:country res:Ecuador)?",
Ecuadorian_56,adjective,Ecuadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ecuador,dbo:Film,dbo:Film,"Give me Ecuadorian (dbo:nationality res:Ecuador)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Ecuador. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Ecuadorian (dbo:nationality res:Ecuador)?",
Egyptian_57,adjective,Egyptian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Egypt,dbo:Film,dbo:Film,"Give me Egyptian (dbo:country res:Egypt)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Egypt. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Egyptian (dbo:country res:Egypt)?",
Egyptian_58,adjective,Egyptian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Egypt,dbo:Film,dbo:Film,"Give me Egyptian (dbo:nationality res:Egypt)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Egypt. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Egyptian (dbo:nationality res:Egypt)?",
Salvadorian_59,adjective,Salvadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:El_Salvador,dbo:Film,dbo:Film,"Give me Salvadorian (dbo:country res:El_Salvador)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:El_Salvador. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Salvadorian (dbo:country res:El_Salvador)?",
Salvadorian_60,adjective,Salvadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:El_Salvador,dbo:Film,dbo:Film,"Give me Salvadorian (dbo:nationality res:El_Salvador)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:El_Salvador. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Salvadorian (dbo:nationality res:El_Salvador)?",
English_61,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:England,dbo:Film,dbo:Film,"Give me English (dbo:country res:England)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:England. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is English (dbo:country res:England)?",
English_62,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:England,dbo:Film,dbo:Film,"Give me English (dbo:nationality res:England)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:England. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is English (dbo:nationality res:England)?",
Estonian_63,adjective,Estonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Estonia,dbo:Film,dbo:Film,"Give me Estonian (dbo:country res:Estonia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Estonia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Estonian (dbo:country res:Estonia)?",
Estonian_64,adjective,Estonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Estonia,dbo:Film,dbo:Film,"Give me Estonian (dbo:nationality res:Estonia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Estonia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Estonian (dbo:nationality res:Estonia)?",
Ethiopian_65,adjective,Ethiopian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ethiopia,dbo:Film,dbo:Film,"Give me Ethiopian (dbo:country res:Ethiopia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Ethiopia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Ethiopian (dbo:country res:Ethiopia)?",
Ethiopian_66,adjective,Ethiopian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ethiopia,dbo:Film,dbo:Film,"Give me Ethiopian (dbo:nationality res:Ethiopia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Ethiopia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Ethiopian (dbo:nationality res:Ethiopia)?",
Fijian_67,adjective,Fijian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Fiji,dbo:Film,dbo:Film,"Give me Fijian (dbo:country res:Fiji)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Fiji. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Fijian (dbo:country res:Fiji)?",
Fijian_68,adjective,Fijian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Fiji,dbo:Film,dbo:Film,"Give me Fijian (dbo:nationality res:Fiji)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Fiji. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Fijian (dbo:nationality res:Fiji)?",
Finnish_69,adjective,Finnish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Finland,dbo:Film,dbo:Film,"Give me Finnish (dbo:country res:Finland)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Finland. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Finnish (dbo:country res:Finland)?",
Finnish_70,adjective,Finnish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Finland,dbo:Film,dbo:Film,"Give me Finnish (dbo:nationality res:Finland)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Finland. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Finnish (dbo:nationality res:Finland)?",
French_71,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:France,dbo:Film,dbo:Film,"Give me French (dbo:country res:France)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:France. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is French (dbo:country res:France)?",
French_72,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:France,dbo:Film,dbo:Film,"Give me French (dbo:nationality res:France)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:France. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is French (dbo:nationality res:France)?",
German_73,adjective,German,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Germany,dbo:Film,dbo:Film,"Give me German (dbo:country res:Germany)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Germany. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is German (dbo:country res:Germany)?",
German_74,adjective,German,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Germany,dbo:Film,dbo:Film,"Give me German (dbo:nationality res:Germany)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Germany. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is German (dbo:nationality res:Germany)?",
Ghanaian_75,adjective,Ghanaian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ghana,dbo:Film,dbo:Film,"Give me Ghanaian (dbo:country res:Ghana)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Ghana. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Ghanaian (dbo:country res:Ghana)?",
Ghanaian_76,adjective,Ghanaian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ghana,dbo:Film,dbo:Film,"Give me Ghanaian (dbo:nationality res:Ghana)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Ghana. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Ghanaian (dbo:nationality res:Ghana)?",
Greek_77,adjective,Greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film,"Give me Greek (dbo:country res:Greece)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Greece. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Greek (dbo:country res:Greece)?",
Greek_78,adjective,Greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Greece,dbo:Film,dbo:Film,"Give me Greek (dbo:nationality res:Greece)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Greece. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Greek (dbo:nationality res:Greece)?",
Guatemalan_79,adjective,Guatemalan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Guatemala,dbo:Film,dbo:Film,"Give me Guatemalan (dbo:country res:Guatemala)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Guatemala. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Guatemalan (dbo:country res:Guatemala)?",
Guatemalan_80,adjective,Guatemalan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Guatemala,dbo:Film,dbo:Film,"Give me Guatemalan (dbo:nationality res:Guatemala)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Guatemala. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Guatemalan (dbo:nationality res:Guatemala)?",
Haitian_81,adjective,Haitian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Haiti,dbo:Film,dbo:Film,"Give me Haitian (dbo:country res:Haiti)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Haiti. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Haitian (dbo:country res:Haiti)?",
Haitian_82,adjective,Haitian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Haiti,dbo:Film,dbo:Film,"Give me Haitian (dbo:nationality res:Haiti)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Haiti. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Haitian (dbo:nationality res:Haiti)?",
Honduran_83,adjective,Honduran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Honduras,dbo:Film,dbo:Film,"Give me Honduran (dbo:country res:Honduras)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Honduras. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Honduran (dbo:country res:Honduras)?",
Honduran_84,adjective,Honduran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Honduras,dbo:Film,dbo:Film,"Give me Honduran (dbo:nationality res:Honduras)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Honduras. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Honduran (dbo:nationality res:Honduras)?",
Hungarian_85,adjective,Hungarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Hungary,dbo:Film,dbo:Film,"Give me Hungarian (dbo:country res:Hungary)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Hungary. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Hungarian (dbo:country res:Hungary)?",
Hungarian_86,adjective,Hungarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Hungary,dbo:Film,dbo:Film,"Give me Hungarian (dbo:nationality res:Hungary)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Hungary. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Hungarian (dbo:nationality res:Hungary)?",
Icelandic_87,adjective,Icelandic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iceland,dbo:Film,dbo:Film,"Give me Icelandic (dbo:country res:Iceland)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Iceland. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Icelandic (dbo:country res:Iceland)?",
Icelandic_88,adjective,Icelandic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iceland,dbo:Film,dbo:Film,"Give me Icelandic (dbo:nationality res:Iceland)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Iceland. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Icelandic (dbo:nationality res:Iceland)?",
Indian_89,adjective,Indian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:India,dbo:Film,dbo:Film,"Give me Indian (dbo:country res:India)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:India. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Indian (dbo:country res:India)?",
Indian_90,adjective,Indian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:India,dbo:Film,dbo:Film,"Give me Indian (dbo:nationality res:India)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:India. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Indian (dbo:nationality res:India)?",
Indonesian_91,adjective,Indonesian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Indonesia,dbo:Film,dbo:Film,"Give me Indonesian (dbo:country res:Indonesia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Indonesia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Indonesian (dbo:country res:Indonesia)?",
Indonesian_92,adjective,Indonesian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Indonesia,dbo:Film,dbo:Film,"Give me Indonesian (dbo:nationality res:Indonesia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Indonesia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Indonesian (dbo:nationality res:Indonesia)?",
Iranian_93,adjective,Iranian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iran,dbo:Film,dbo:Film,"Give me Iranian (dbo:country res:Iran)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Iran. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Iranian (dbo:country res:Iran)?",
Iranian_94,adjective,Iranian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iran,dbo:Film,dbo:Film,"Give me Iranian (dbo:nationality res:Iran)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Iran. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Iranian (dbo:nationality res:Iran)?",
Iraqi_95,adjective,Iraqi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iraq,dbo:Film,dbo:Film,"Give me Iraqi (dbo:country res:Iraq)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Iraq. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Iraqi (dbo:country res:Iraq)?",
Iraqi_96,adjective,Iraqi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iraq,dbo:Film,dbo:Film,"Give me Iraqi (dbo:nationality res:Iraq)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Iraq. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Iraqi (dbo:nationality res:Iraq)?",
Irish_97,adjective,Irish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ireland,dbo:Film,dbo:Film,"Give me Irish (dbo:country res:Ireland)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Ireland. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Irish (dbo:country res:Ireland)?",
Irish_98,adjective,Irish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ireland,dbo:Film,dbo:Film,"Give me Irish (dbo:nationality res:Ireland)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Ireland. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Irish (dbo:nationality res:Ireland)?",
Israeli_99,adjective,Israeli,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Israel,dbo:Film,dbo:Film,"Give me Israeli (dbo:country res:Israel)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Israel. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Israeli (dbo:country res:Israel)?",
Israeli_100,adjective,Israeli,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Israel,dbo:Film,dbo:Film,"Give me Israeli (dbo:nationality res:Israel)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Israel. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Israeli (dbo:nationality res:Israel)?",
Italian_101,adjective,Italian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Italy,dbo:Film,dbo:Film,"Give me Italian (dbo:country res:Italy)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Italy. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Italian (dbo:country res:Italy)?",
Italian_102,adjective,Italian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Italy,dbo:Film,dbo:Film,"Give me Italian (dbo:nationality res:Italy)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Italy. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Italian (dbo:nationality res:Italy)?",
Jamaican_103,adjective,Jamaican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Jamaica,dbo:Film,dbo:Film,"Give me Jamaican (dbo:country res:Jamaica)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Jamaica. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Jamaican (dbo:country res:Jamaica)?",
Jamaican_104,adjective,Jamaican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Jamaica,dbo:Film,dbo:Film,"Give me Jamaican (dbo:nationality res:Jamaica)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Jamaica. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Jamaican (dbo:nationality res:Jamaica)?",
Japanese_105,adjective,Japanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Japan,dbo:Film,dbo:Film,"Give me Japanese (dbo:country res:Japan)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Japan. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Japanese (dbo:country res:Japan)?",
Japanese_106,adjective,Japanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Japan,dbo:Film,dbo:Film,"Give me Japanese (dbo:nationality res:Japan)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Japan. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Japanese (dbo:nationality res:Japan)?",
Jordanian_107,adjective,Jordanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Jordan,dbo:Film,dbo:Film,"Give me Jordanian (dbo:country res:Jordan)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Jordan. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Jordanian (dbo:country res:Jordan)?",
Jordanian_108,adjective,Jordanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Jordan,dbo:Film,dbo:Film,"Give me Jordanian (dbo:nationality res:Jordan)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Jordan. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Jordanian (dbo:nationality res:Jordan)?",
Kenyan_109,adjective,Kenyan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Kenya,dbo:Film,dbo:Film,"Give me Kenyan (dbo:country res:Kenya)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Kenya. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Kenyan (dbo:country res:Kenya)?",
Kenyan_110,adjective,Kenyan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Kenya,dbo:Film,dbo:Film,"Give me Kenyan (dbo:nationality res:Kenya)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Kenya. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Kenyan (dbo:nationality res:Kenya)?",
Kuwaiti_111,adjective,Kuwaiti,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Kuwait,dbo:Film,dbo:Film,"Give me Kuwaiti (dbo:country res:Kuwait)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Kuwait. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Kuwaiti (dbo:country res:Kuwait)?",
